source,target,flags,icd10,description
0068,A0689,10000,A0689,  Other amebic infections
0069,A069,0,A069,"   Amebiasis, unspecified"
0070,A070,0,A070,   Balantidiasis
0071,A071,0,A071,   Giardiasis [lambliasis]
0072,A073,0,A073,   Isosporiasis
0073,A078,10000,A078,   Other specified protozoal intestinal diseases
0078,A078,10000,A078,   Other specified protozoal intestinal diseases
1365,A078,10000,A078,   Other specified protozoal intestinal diseases
0074,A072,0,A072,   Cryptosporidiosis
0075,A074,0,A074,   Cyclosporiasis
0079,A079,0,A079,"   Protozoal intestinal disease, unspecified"
00800,A044,10000,A044,   Other intestinal Escherichia coli infections
00809,A044,10000,A044,   Other intestinal Escherichia coli infections
00801,A040,0,A040,   Enteropathogenic Escherichia coli infection
00802,A041,0,A041,   Enterotoxigenic Escherichia coli infection
00803,A042,0,A042,   Enteroinvasive Escherichia coli infection
00804,A043,0,A043,   Enterohemorrhagic Escherichia coli infection
0081,A048,10000,A048,   Other specified bacterial intestinal infections
0082,A048,10000,A048,   Other specified bacterial intestinal infections
0083,A048,10000,A048,   Other specified bacterial intestinal infections
00841,A048,10000,A048,   Other specified bacterial intestinal infections
00842,A048,10000,A048,   Other specified bacterial intestinal infections
00846,A048,10000,A048,   Other specified bacterial intestinal infections
00847,A048,10000,A048,   Other specified bacterial intestinal infections
00849,A048,10000,A048,   Other specified bacterial intestinal infections
00843,A045,0,A045,   Campylobacter enteritis
00844,A046,0,A046,   Enteritis due to Yersinia enterocolitica
00845,A0471,10000,A0471,"  Enterocolitis due to Clostridium difficile, recurrent"
00845,A0472,10000,A0472,"  Enterocolitis due to Clostridium difficile, not specified as recurrent"
0085,A049,0,A049,"   Bacterial intestinal infection, unspecified"
00861,A080,0,A080,   Rotaviral enteritis
00862,A082,0,A082,   Adenoviral enteritis
00863,A0811,10000,A0811,  Acute gastroenteropathy due to Norwalk agent
00864,A0819,10000,A0819,  Acute gastroenteropathy due to other small round viruses
00865,A0831,0,A0831,  Calicivirus enteritis
00866,A0832,0,A0832,  Astrovirus enteritis
00867,A0839,10000,A0839,  Other viral enteritis
00869,A0839,10000,A0839,  Other viral enteritis
0088,A088,10000,A088,   Other specified intestinal infections
0090,A09,10000,A09,"    Infectious gastroenteritis and colitis, unspecified"
0091,A09,10000,A09,"    Infectious gastroenteritis and colitis, unspecified"
0092,A09,10000,A09,"    Infectious gastroenteritis and colitis, unspecified"
0093,A09,10000,A09,"    Infectious gastroenteritis and colitis, unspecified"
01000,A157,10000,A157,   Primary respiratory tuberculosis
01001,A157,10000,A157,   Primary respiratory tuberculosis
01002,A157,10000,A157,   Primary respiratory tuberculosis
01003,A157,10000,A157,   Primary respiratory tuberculosis
01004,A157,10000,A157,   Primary respiratory tuberculosis
01005,A157,10000,A157,   Primary respiratory tuberculosis
01006,A157,10000,A157,   Primary respiratory tuberculosis
01080,A157,10000,A157,   Primary respiratory tuberculosis
01081,A157,10000,A157,   Primary respiratory tuberculosis
01082,A157,10000,A157,   Primary respiratory tuberculosis
01083,A157,10000,A157,   Primary respiratory tuberculosis
01084,A157,10000,A157,   Primary respiratory tuberculosis
01085,A157,10000,A157,   Primary respiratory tuberculosis
01086,A157,10000,A157,   Primary respiratory tuberculosis
01090,A157,10000,A157,   Primary respiratory tuberculosis
01091,A157,10000,A157,   Primary respiratory tuberculosis
01092,A157,10000,A157,   Primary respiratory tuberculosis
01093,A157,10000,A157,   Primary respiratory tuberculosis
01094,A157,10000,A157,   Primary respiratory tuberculosis
01095,A157,10000,A157,   Primary respiratory tuberculosis
01096,A157,10000,A157,   Primary respiratory tuberculosis
01010,A156,10000,A156,   Tuberculous pleurisy
01011,A156,10000,A156,   Tuberculous pleurisy
01012,A156,10000,A156,   Tuberculous pleurisy
01013,A156,10000,A156,   Tuberculous pleurisy
01014,A156,10000,A156,   Tuberculous pleurisy
01015,A156,10000,A156,   Tuberculous pleurisy
01016,A156,10000,A156,   Tuberculous pleurisy
01200,A156,10000,A156,   Tuberculous pleurisy
01201,A156,10000,A156,   Tuberculous pleurisy
01202,A156,10000,A156,   Tuberculous pleurisy
01203,A156,10000,A156,   Tuberculous pleurisy
01204,A156,10000,A156,   Tuberculous pleurisy
01205,A156,10000,A156,   Tuberculous pleurisy
01206,A156,10000,A156,   Tuberculous pleurisy
01100,A150,10000,A150,   Tuberculosis of lung
01101,A150,10000,A150,   Tuberculosis of lung
01102,A150,10000,A150,   Tuberculosis of lung
01103,A150,10000,A150,   Tuberculosis of lung
01104,A150,10000,A150,   Tuberculosis of lung
01105,A150,10000,A150,   Tuberculosis of lung
01106,A150,10000,A150,   Tuberculosis of lung
01110,A150,10000,A150,   Tuberculosis of lung
01111,A150,10000,A150,   Tuberculosis of lung
01112,A150,10000,A150,   Tuberculosis of lung
01113,A150,10000,A150,   Tuberculosis of lung
01114,A150,10000,A150,   Tuberculosis of lung
01115,A150,10000,A150,   Tuberculosis of lung
01116,A150,10000,A150,   Tuberculosis of lung
01120,A150,10000,A150,   Tuberculosis of lung
01121,A150,10000,A150,   Tuberculosis of lung
01122,A150,10000,A150,   Tuberculosis of lung
01123,A150,10000,A150,   Tuberculosis of lung
01124,A150,10000,A150,   Tuberculosis of lung
01125,A150,10000,A150,   Tuberculosis of lung
01126,A150,10000,A150,   Tuberculosis of lung
01140,A150,10000,A150,   Tuberculosis of lung
01141,A150,10000,A150,   Tuberculosis of lung
01142,A150,10000,A150,   Tuberculosis of lung
01143,A150,10000,A150,   Tuberculosis of lung
01144,A150,10000,A150,   Tuberculosis of lung
01145,A150,10000,A150,   Tuberculosis of lung
01146,A150,10000,A150,   Tuberculosis of lung
01150,A150,10000,A150,   Tuberculosis of lung
01151,A150,10000,A150,   Tuberculosis of lung
01152,A150,10000,A150,   Tuberculosis of lung
01153,A150,10000,A150,   Tuberculosis of lung
01154,A150,10000,A150,   Tuberculosis of lung
01155,A150,10000,A150,   Tuberculosis of lung
01156,A150,10000,A150,   Tuberculosis of lung
01160,A150,10000,A150,   Tuberculosis of lung
01161,A150,10000,A150,   Tuberculosis of lung
01162,A150,10000,A150,   Tuberculosis of lung
01163,A150,10000,A150,   Tuberculosis of lung
01164,A150,10000,A150,   Tuberculosis of lung
01165,A150,10000,A150,   Tuberculosis of lung
01166,A150,10000,A150,   Tuberculosis of lung
01170,A150,10000,A150,   Tuberculosis of lung
01171,A150,10000,A150,   Tuberculosis of lung
01172,A150,10000,A150,   Tuberculosis of lung
01173,A150,10000,A150,   Tuberculosis of lung
01174,A150,10000,A150,   Tuberculosis of lung
01175,A150,10000,A150,   Tuberculosis of lung
01176,A150,10000,A150,   Tuberculosis of lung
01180,A150,10000,A150,   Tuberculosis of lung
01181,A150,10000,A150,   Tuberculosis of lung
01182,A150,10000,A150,   Tuberculosis of lung
01183,A150,10000,A150,   Tuberculosis of lung
01184,A150,10000,A150,   Tuberculosis of lung
01185,A150,10000,A150,   Tuberculosis of lung
01186,A150,10000,A150,   Tuberculosis of lung
01190,A150,10000,A150,   Tuberculosis of lung
01191,A150,10000,A150,   Tuberculosis of lung
01192,A150,10000,A150,   Tuberculosis of lung
01193,A150,10000,A150,   Tuberculosis of lung
01194,A150,10000,A150,   Tuberculosis of lung
01195,A150,10000,A150,   Tuberculosis of lung
01196,A150,10000,A150,   Tuberculosis of lung
01130,A155,10000,A155,"   Tuberculosis of larynx, trachea and bronchus"
01131,A155,10000,A155,"   Tuberculosis of larynx, trachea and bronchus"
01132,A155,10000,A155,"   Tuberculosis of larynx, trachea and bronchus"
01133,A155,10000,A155,"   Tuberculosis of larynx, trachea and bronchus"
01134,A155,10000,A155,"   Tuberculosis of larynx, trachea and bronchus"
01135,A155,10000,A155,"   Tuberculosis of larynx, trachea and bronchus"
01136,A155,10000,A155,"   Tuberculosis of larynx, trachea and bronchus"
01220,A155,10000,A155,"   Tuberculosis of larynx, trachea and bronchus"
01221,A155,10000,A155,"   Tuberculosis of larynx, trachea and bronchus"
01222,A155,10000,A155,"   Tuberculosis of larynx, trachea and bronchus"
01223,A155,10000,A155,"   Tuberculosis of larynx, trachea and bronchus"
01224,A155,10000,A155,"   Tuberculosis of larynx, trachea and bronchus"
01225,A155,10000,A155,"   Tuberculosis of larynx, trachea and bronchus"
01226,A155,10000,A155,"   Tuberculosis of larynx, trachea and bronchus"
01230,A155,10000,A155,"   Tuberculosis of larynx, trachea and bronchus"
01231,A155,10000,A155,"   Tuberculosis of larynx, trachea and bronchus"
01232,A155,10000,A155,"   Tuberculosis of larynx, trachea and bronchus"
01233,A155,10000,A155,"   Tuberculosis of larynx, trachea and bronchus"
01234,A155,10000,A155,"   Tuberculosis of larynx, trachea and bronchus"
01235,A155,10000,A155,"   Tuberculosis of larynx, trachea and bronchus"
01236,A155,10000,A155,"   Tuberculosis of larynx, trachea and bronchus"
01210,A154,10000,A154,   Tuberculosis of intrathoracic lymph nodes
01211,A154,10000,A154,   Tuberculosis of intrathoracic lymph nodes
01212,A154,10000,A154,   Tuberculosis of intrathoracic lymph nodes
01213,A154,10000,A154,   Tuberculosis of intrathoracic lymph nodes
01214,A154,10000,A154,   Tuberculosis of intrathoracic lymph nodes
01215,A154,10000,A154,   Tuberculosis of intrathoracic lymph nodes
01216,A154,10000,A154,   Tuberculosis of intrathoracic lymph nodes
01280,A158,10000,A158,   Other respiratory tuberculosis
01281,A158,10000,A158,   Other respiratory tuberculosis
01282,A158,10000,A158,   Other respiratory tuberculosis
01283,A158,10000,A158,   Other respiratory tuberculosis
01284,A158,10000,A158,   Other respiratory tuberculosis
01285,A158,10000,A158,   Other respiratory tuberculosis
01286,A158,10000,A158,   Other respiratory tuberculosis
01300,A170,10000,A170,   Tuberculous meningitis
01301,A170,10000,A170,   Tuberculous meningitis
01302,A170,10000,A170,   Tuberculous meningitis
01303,A170,10000,A170,   Tuberculous meningitis
01304,A170,10000,A170,   Tuberculous meningitis
01305,A170,10000,A170,   Tuberculous meningitis
01306,A170,10000,A170,   Tuberculous meningitis
01310,A171,10000,A171,   Meningeal tuberculoma
01311,A171,10000,A171,   Meningeal tuberculoma
01312,A171,10000,A171,   Meningeal tuberculoma
01313,A171,10000,A171,   Meningeal tuberculoma
01314,A171,10000,A171,   Meningeal tuberculoma
01315,A171,10000,A171,   Meningeal tuberculoma
01316,A171,10000,A171,   Meningeal tuberculoma
01320,A1781,10000,A1781,  Tuberculoma of brain and spinal cord
01321,A1781,10000,A1781,  Tuberculoma of brain and spinal cord
01322,A1781,10000,A1781,  Tuberculoma of brain and spinal cord
01323,A1781,10000,A1781,  Tuberculoma of brain and spinal cord
01324,A1781,10000,A1781,  Tuberculoma of brain and spinal cord
01325,A1781,10000,A1781,  Tuberculoma of brain and spinal cord
01326,A1781,10000,A1781,  Tuberculoma of brain and spinal cord
01330,A1781,10000,A1781,  Tuberculoma of brain and spinal cord
01331,A1781,10000,A1781,  Tuberculoma of brain and spinal cord
01332,A1781,10000,A1781,  Tuberculoma of brain and spinal cord
01333,A1781,10000,A1781,  Tuberculoma of brain and spinal cord
01334,A1781,10000,A1781,  Tuberculoma of brain and spinal cord
01335,A1781,10000,A1781,  Tuberculoma of brain and spinal cord
01336,A1781,10000,A1781,  Tuberculoma of brain and spinal cord
01340,A1781,10000,A1781,  Tuberculoma of brain and spinal cord
01341,A1781,10000,A1781,  Tuberculoma of brain and spinal cord
01342,A1781,10000,A1781,  Tuberculoma of brain and spinal cord
01343,A1781,10000,A1781,  Tuberculoma of brain and spinal cord
01344,A1781,10000,A1781,  Tuberculoma of brain and spinal cord
01345,A1781,10000,A1781,  Tuberculoma of brain and spinal cord
01346,A1781,10000,A1781,  Tuberculoma of brain and spinal cord
01350,A1781,10000,A1781,  Tuberculoma of brain and spinal cord
01351,A1781,10000,A1781,  Tuberculoma of brain and spinal cord
01352,A1781,10000,A1781,  Tuberculoma of brain and spinal cord
01353,A1781,10000,A1781,  Tuberculoma of brain and spinal cord
01354,A1781,10000,A1781,  Tuberculoma of brain and spinal cord
01355,A1781,10000,A1781,  Tuberculoma of brain and spinal cord
01356,A1781,10000,A1781,  Tuberculoma of brain and spinal cord
01360,A1782,10000,A1782,  Tuberculous meningoencephalitis
01361,A1782,10000,A1782,  Tuberculous meningoencephalitis
01362,A1782,10000,A1782,  Tuberculous meningoencephalitis
01363,A1782,10000,A1782,  Tuberculous meningoencephalitis
01364,A1782,10000,A1782,  Tuberculous meningoencephalitis
01365,A1782,10000,A1782,  Tuberculous meningoencephalitis
01366,A1782,10000,A1782,  Tuberculous meningoencephalitis
01380,A1789,10000,A1789,  Other tuberculosis of nervous system
01381,A1789,10000,A1789,  Other tuberculosis of nervous system
01382,A1789,10000,A1789,  Other tuberculosis of nervous system
01383,A1789,10000,A1789,  Other tuberculosis of nervous system
01384,A1789,10000,A1789,  Other tuberculosis of nervous system
01385,A1789,10000,A1789,  Other tuberculosis of nervous system
01386,A1789,10000,A1789,  Other tuberculosis of nervous system
01390,A179,10000,A179,"   Tuberculosis of nervous system, unspecified"
01391,A179,10000,A179,"   Tuberculosis of nervous system, unspecified"
01392,A179,10000,A179,"   Tuberculosis of nervous system, unspecified"
01393,A179,10000,A179,"   Tuberculosis of nervous system, unspecified"
01394,A179,10000,A179,"   Tuberculosis of nervous system, unspecified"
01395,A179,10000,A179,"   Tuberculosis of nervous system, unspecified"
01396,A179,10000,A179,"   Tuberculosis of nervous system, unspecified"
01400,A1831,10000,A1831,  Tuberculous peritonitis
01401,A1831,10000,A1831,  Tuberculous peritonitis
01402,A1831,10000,A1831,  Tuberculous peritonitis
01403,A1831,10000,A1831,  Tuberculous peritonitis
01404,A1831,10000,A1831,  Tuberculous peritonitis
01405,A1831,10000,A1831,  Tuberculous peritonitis
01406,A1831,10000,A1831,  Tuberculous peritonitis
01480,A1832,10000,A1832,  Tuberculous enteritis
01481,A1832,10000,A1832,  Tuberculous enteritis
01482,A1832,10000,A1832,  Tuberculous enteritis
01483,A1832,10000,A1832,  Tuberculous enteritis
01484,A1832,10000,A1832,  Tuberculous enteritis
01485,A1832,10000,A1832,  Tuberculous enteritis
01486,A1832,10000,A1832,  Tuberculous enteritis
01480,A1839,10000,A1839,  Retroperitoneal tuberculosis
01481,A1839,10000,A1839,  Retroperitoneal tuberculosis
01482,A1839,10000,A1839,  Retroperitoneal tuberculosis
01483,A1839,10000,A1839,  Retroperitoneal tuberculosis
01484,A1839,10000,A1839,  Retroperitoneal tuberculosis
01485,A1839,10000,A1839,  Retroperitoneal tuberculosis
01486,A1839,10000,A1839,  Retroperitoneal tuberculosis
01500,A1801,10000,A1801,  Tuberculosis of spine
01501,A1801,10000,A1801,  Tuberculosis of spine
01502,A1801,10000,A1801,  Tuberculosis of spine
01503,A1801,10000,A1801,  Tuberculosis of spine
01504,A1801,10000,A1801,  Tuberculosis of spine
01505,A1801,10000,A1801,  Tuberculosis of spine
01506,A1801,10000,A1801,  Tuberculosis of spine
01510,A1802,10000,A1802,  Tuberculous arthritis of other joints
01511,A1802,10000,A1802,  Tuberculous arthritis of other joints
01512,A1802,10000,A1802,  Tuberculous arthritis of other joints
01513,A1802,10000,A1802,  Tuberculous arthritis of other joints
01514,A1802,10000,A1802,  Tuberculous arthritis of other joints
01515,A1802,10000,A1802,  Tuberculous arthritis of other joints
01516,A1802,10000,A1802,  Tuberculous arthritis of other joints
01520,A1802,10000,A1802,  Tuberculous arthritis of other joints
01521,A1802,10000,A1802,  Tuberculous arthritis of other joints
01522,A1802,10000,A1802,  Tuberculous arthritis of other joints
01523,A1802,10000,A1802,  Tuberculous arthritis of other joints
01524,A1802,10000,A1802,  Tuberculous arthritis of other joints
01525,A1802,10000,A1802,  Tuberculous arthritis of other joints
01526,A1802,10000,A1802,  Tuberculous arthritis of other joints
01580,A1802,10000,A1802,  Tuberculous arthritis of other joints
01581,A1802,10000,A1802,  Tuberculous arthritis of other joints
01582,A1802,10000,A1802,  Tuberculous arthritis of other joints
01583,A1802,10000,A1802,  Tuberculous arthritis of other joints
01584,A1802,10000,A1802,  Tuberculous arthritis of other joints
01585,A1802,10000,A1802,  Tuberculous arthritis of other joints
01586,A1802,10000,A1802,  Tuberculous arthritis of other joints
01590,A1802,10000,A1802,  Tuberculous arthritis of other joints
01591,A1802,10000,A1802,  Tuberculous arthritis of other joints
01592,A1802,10000,A1802,  Tuberculous arthritis of other joints
01593,A1802,10000,A1802,  Tuberculous arthritis of other joints
01594,A1802,10000,A1802,  Tuberculous arthritis of other joints
01595,A1802,10000,A1802,  Tuberculous arthritis of other joints
01596,A1802,10000,A1802,  Tuberculous arthritis of other joints
01550,A1803,10000,A1803,  Tuberculosis of other bones
01551,A1803,10000,A1803,  Tuberculosis of other bones
01552,A1803,10000,A1803,  Tuberculosis of other bones
01553,A1803,10000,A1803,  Tuberculosis of other bones
01554,A1803,10000,A1803,  Tuberculosis of other bones
01555,A1803,10000,A1803,  Tuberculosis of other bones
01556,A1803,10000,A1803,  Tuberculosis of other bones
01560,A1803,10000,A1803,  Tuberculosis of other bones
01561,A1803,10000,A1803,  Tuberculosis of other bones
01562,A1803,10000,A1803,  Tuberculosis of other bones
01563,A1803,10000,A1803,  Tuberculosis of other bones
01564,A1803,10000,A1803,  Tuberculosis of other bones
01565,A1803,10000,A1803,  Tuberculosis of other bones
01566,A1803,10000,A1803,  Tuberculosis of other bones
01570,A1803,10000,A1803,  Tuberculosis of other bones
01571,A1803,10000,A1803,  Tuberculosis of other bones
01572,A1803,10000,A1803,  Tuberculosis of other bones
01573,A1803,10000,A1803,  Tuberculosis of other bones
01574,A1803,10000,A1803,  Tuberculosis of other bones
01575,A1803,10000,A1803,  Tuberculosis of other bones
01576,A1803,10000,A1803,  Tuberculosis of other bones
01590,A1803,10000,A1803,  Tuberculosis of other bones
01591,A1803,10000,A1803,  Tuberculosis of other bones
01592,A1803,10000,A1803,  Tuberculosis of other bones
01593,A1803,10000,A1803,  Tuberculosis of other bones
01594,A1803,10000,A1803,  Tuberculosis of other bones
01595,A1803,10000,A1803,  Tuberculosis of other bones
01596,A1803,10000,A1803,  Tuberculosis of other bones
01600,A1811,10000,A1811,  Tuberculosis of kidney and ureter
01601,A1811,10000,A1811,  Tuberculosis of kidney and ureter
01602,A1811,10000,A1811,  Tuberculosis of kidney and ureter
01603,A1811,10000,A1811,  Tuberculosis of kidney and ureter
01604,A1811,10000,A1811,  Tuberculosis of kidney and ureter
01605,A1811,10000,A1811,  Tuberculosis of kidney and ureter
01606,A1811,10000,A1811,  Tuberculosis of kidney and ureter
01620,A1811,10000,A1811,  Tuberculosis of kidney and ureter
01621,A1811,10000,A1811,  Tuberculosis of kidney and ureter
01622,A1811,10000,A1811,  Tuberculosis of kidney and ureter
01623,A1811,10000,A1811,  Tuberculosis of kidney and ureter
01624,A1811,10000,A1811,  Tuberculosis of kidney and ureter
01625,A1811,10000,A1811,  Tuberculosis of kidney and ureter
01626,A1811,10000,A1811,  Tuberculosis of kidney and ureter
01610,A1812,10000,A1812,  Tuberculosis of bladder
01611,A1812,10000,A1812,  Tuberculosis of bladder
01612,A1812,10000,A1812,  Tuberculosis of bladder
01613,A1812,10000,A1812,  Tuberculosis of bladder
01614,A1812,10000,A1812,  Tuberculosis of bladder
01615,A1812,10000,A1812,  Tuberculosis of bladder
01616,A1812,10000,A1812,  Tuberculosis of bladder
01630,A1813,10000,A1813,  Tuberculosis of other urinary organs
01631,A1813,10000,A1813,  Tuberculosis of other urinary organs
01632,A1813,10000,A1813,  Tuberculosis of other urinary organs
01633,A1813,10000,A1813,  Tuberculosis of other urinary organs
01634,A1813,10000,A1813,  Tuberculosis of other urinary organs
01635,A1813,10000,A1813,  Tuberculosis of other urinary organs
01636,A1813,10000,A1813,  Tuberculosis of other urinary organs
01640,A1815,10000,A1815,  Tuberculosis of other male genital organs
01641,A1815,10000,A1815,  Tuberculosis of other male genital organs
01642,A1815,10000,A1815,  Tuberculosis of other male genital organs
01643,A1815,10000,A1815,  Tuberculosis of other male genital organs
01644,A1815,10000,A1815,  Tuberculosis of other male genital organs
01645,A1815,10000,A1815,  Tuberculosis of other male genital organs
01646,A1815,10000,A1815,  Tuberculosis of other male genital organs
01650,A1815,10000,A1815,  Tuberculosis of other male genital organs
01651,A1815,10000,A1815,  Tuberculosis of other male genital organs
01652,A1815,10000,A1815,  Tuberculosis of other male genital organs
01653,A1815,10000,A1815,  Tuberculosis of other male genital organs
01654,A1815,10000,A1815,  Tuberculosis of other male genital organs
01655,A1815,10000,A1815,  Tuberculosis of other male genital organs
01656,A1815,10000,A1815,  Tuberculosis of other male genital organs
01650,A1814,10000,A1814,  Tuberculosis of prostate
01651,A1814,10000,A1814,  Tuberculosis of prostate
01652,A1814,10000,A1814,  Tuberculosis of prostate
01653,A1814,10000,A1814,  Tuberculosis of prostate
01654,A1814,10000,A1814,  Tuberculosis of prostate
01655,A1814,10000,A1814,  Tuberculosis of prostate
01656,A1814,10000,A1814,  Tuberculosis of prostate
01660,A1817,10000,A1817,  Tuberculous female pelvic inflammatory disease
01661,A1817,10000,A1817,  Tuberculous female pelvic inflammatory disease
01662,A1817,10000,A1817,  Tuberculous female pelvic inflammatory disease
01663,A1817,10000,A1817,  Tuberculous female pelvic inflammatory disease
01664,A1817,10000,A1817,  Tuberculous female pelvic inflammatory disease
01665,A1817,10000,A1817,  Tuberculous female pelvic inflammatory disease
01666,A1817,10000,A1817,  Tuberculous female pelvic inflammatory disease
01670,A1817,10000,A1817,  Tuberculous female pelvic inflammatory disease
01671,A1817,10000,A1817,  Tuberculous female pelvic inflammatory disease
01672,A1817,10000,A1817,  Tuberculous female pelvic inflammatory disease
01673,A1817,10000,A1817,  Tuberculous female pelvic inflammatory disease
01674,A1817,10000,A1817,  Tuberculous female pelvic inflammatory disease
01675,A1817,10000,A1817,  Tuberculous female pelvic inflammatory disease
01676,A1817,10000,A1817,  Tuberculous female pelvic inflammatory disease
01670,A1816,10000,A1816,  Tuberculosis of cervix
01671,A1816,10000,A1816,  Tuberculosis of cervix
01672,A1816,10000,A1816,  Tuberculosis of cervix
01673,A1816,10000,A1816,  Tuberculosis of cervix
01674,A1816,10000,A1816,  Tuberculosis of cervix
01675,A1816,10000,A1816,  Tuberculosis of cervix
01676,A1816,10000,A1816,  Tuberculosis of cervix
01670,A1818,10000,A1818,  Tuberculosis of other female genital organs
01671,A1818,10000,A1818,  Tuberculosis of other female genital organs
01672,A1818,10000,A1818,  Tuberculosis of other female genital organs
01673,A1818,10000,A1818,  Tuberculosis of other female genital organs
01674,A1818,10000,A1818,  Tuberculosis of other female genital organs
01675,A1818,10000,A1818,  Tuberculosis of other female genital organs
01676,A1818,10000,A1818,  Tuberculosis of other female genital organs
01690,A1810,10000,A1810,"  Tuberculosis of genitourinary system, unspecified"
01691,A1810,10000,A1810,"  Tuberculosis of genitourinary system, unspecified"
01692,A1810,10000,A1810,"  Tuberculosis of genitourinary system, unspecified"
01693,A1810,10000,A1810,"  Tuberculosis of genitourinary system, unspecified"
01694,A1810,10000,A1810,"  Tuberculosis of genitourinary system, unspecified"
01695,A1810,10000,A1810,"  Tuberculosis of genitourinary system, unspecified"
01696,A1810,10000,A1810,"  Tuberculosis of genitourinary system, unspecified"
01700,A184,10000,A184,   Tuberculosis of skin and subcutaneous tissue
01701,A184,10000,A184,   Tuberculosis of skin and subcutaneous tissue
01702,A184,10000,A184,   Tuberculosis of skin and subcutaneous tissue
01703,A184,10000,A184,   Tuberculosis of skin and subcutaneous tissue
01704,A184,10000,A184,   Tuberculosis of skin and subcutaneous tissue
01705,A184,10000,A184,   Tuberculosis of skin and subcutaneous tissue
01706,A184,10000,A184,   Tuberculosis of skin and subcutaneous tissue
01710,A184,10000,A184,   Tuberculosis of skin and subcutaneous tissue
01711,A184,10000,A184,   Tuberculosis of skin and subcutaneous tissue
01712,A184,10000,A184,   Tuberculosis of skin and subcutaneous tissue
01713,A184,10000,A184,   Tuberculosis of skin and subcutaneous tissue
01714,A184,10000,A184,   Tuberculosis of skin and subcutaneous tissue
01715,A184,10000,A184,   Tuberculosis of skin and subcutaneous tissue
01716,A184,10000,A184,   Tuberculosis of skin and subcutaneous tissue
01720,A182,10000,A182,   Tuberculous peripheral lymphadenopathy
01721,A182,10000,A182,   Tuberculous peripheral lymphadenopathy
01722,A182,10000,A182,   Tuberculous peripheral lymphadenopathy
01723,A182,10000,A182,   Tuberculous peripheral lymphadenopathy
01724,A182,10000,A182,   Tuberculous peripheral lymphadenopathy
01725,A182,10000,A182,   Tuberculous peripheral lymphadenopathy
01726,A182,10000,A182,   Tuberculous peripheral lymphadenopathy
01730,A1850,10000,A1850,"  Tuberculosis of eye, unspecified"
01731,A1850,10000,A1850,"  Tuberculosis of eye, unspecified"
01732,A1850,10000,A1850,"  Tuberculosis of eye, unspecified"
01733,A1850,10000,A1850,"  Tuberculosis of eye, unspecified"
01734,A1850,10000,A1850,"  Tuberculosis of eye, unspecified"
01735,A1850,10000,A1850,"  Tuberculosis of eye, unspecified"
01736,A1850,10000,A1850,"  Tuberculosis of eye, unspecified"
01730,A1851,10000,A1851,  Tuberculous episcleritis
01731,A1851,10000,A1851,  Tuberculous episcleritis
01732,A1851,10000,A1851,  Tuberculous episcleritis
01733,A1851,10000,A1851,  Tuberculous episcleritis
01734,A1851,10000,A1851,  Tuberculous episcleritis
01735,A1851,10000,A1851,  Tuberculous episcleritis
01736,A1851,10000,A1851,  Tuberculous episcleritis
01730,A1852,10000,A1852,  Tuberculous keratitis
01731,A1852,10000,A1852,  Tuberculous keratitis
01732,A1852,10000,A1852,  Tuberculous keratitis
